08-15-24.423324: 1539.1448154269, 1547.0829492615, 1555.5970198419, 1562.3227981373, 1537.9132169975, 1545.9169753243, 1554.3088872716, 1561.7022506715, 1538.3116580616, 1546.4993535566, 1554.5951303163, 1561.8104034172
08-15-24.424324: 1539.1453938117, 1547.0848965162, 1555.5956419149, 1562.3059180079, 1537.9180285469, 1545.9152267702, 1554.3100669477, 1561.6689151947, 1538.3097328293, 1546.5014933508, 1554.59493235  , 1561.8064344223
08-15-24.425324: 1539.1453938117, 1547.0829492615, 1555.5962308052, 1562.2973790841, 1537.9155268384, 1545.9138659418, 1554.3094771094, 1561.7212998773, 1538.3130055389, 1546.498575624 , 1554.5927701005, 1561.8125877309
08-15-24.426324: 1539.145972197 , 1547.0829492615, 1555.5960345084, 1562.2981729924, 1537.9172592237, 1545.9154206315, 1554.3106567863, 1561.7080055348, 1538.3097328293, 1546.4999374821, 1554.5967025161, 1561.8092123287
08-15-24.427324: 1539.1442370425, 1547.0829492615, 1555.5954436937, 1562.2902300638, 1537.9174510842, 1545.9158102547, 1554.3100669477, 1561.6881614245, 1538.3103105867, 1546.50013149  , 1554.59493235  , 1561.8062365551
08-15-24.428324: 1539.1453938117, 1547.084312149 , 1555.5924915516, 1562.3033363275, 1537.9153330974, 1545.9154206315, 1554.3106567863, 1561.7101876225, 1538.3085773158, 1546.4977976922, 1554.5937541636, 1561.810205549 
08-15-24.429324: 1539.1428881086, 1547.0829492615, 1555.5950511005, 1562.2912219549, 1537.9149493776, 1545.9154206315, 1554.3102629201, 1561.7048303657, 1538.3133913394, 1546.4995475644, 1554.5935561977, 1561.8129834687
08-15-24.430324: 1539.1453938117, 1547.0823648957, 1555.5966253235, 1562.2892362328, 1537.9149493776, 1545.9140598027, 1554.3094771094, 1561.7238796344, 1538.3110803032, 1546.4976017829, 1554.5929661442, 1561.8064344223
08-15-24.431324: 1539.1442370425, 1547.0815863764, 1555.5958382116, 1562.2868545377, 1537.9151412375, 1545.9152267702, 1554.3081014624, 1561.7062191369, 1538.3083853577, 1546.4995475644, 1554.5963104269, 1561.8100076808
08-15-24.432324: 1539.14674275  , 1547.0815863764, 1555.5944602866, 1562.3098895418, 1537.9161042998, 1545.9169753243, 1554.3088872716, 1561.6768518068, 1538.3097328293, 1546.498575624 , 1554.59493235  , 1561.8100076808
08-15-24.433324: 1539.1440448758, 1547.0837277821, 1555.5934749563, 1562.2947974319, 1537.9164880202, 1545.9167814627, 1554.3069217893, 1561.709196469 , 1538.3116580616, 1546.500521408 , 1554.5947363058, 1561.8084189172
08-15-24.434324: 1539.1448154269, 1547.0815863764, 1555.5958382116, 1562.2993648268, 1537.9161042998, 1545.9148371473, 1554.3086912996, 1561.7141561282, 1538.3091550724, 1546.5003274   , 1554.5957203714, 1561.8082210495
08-15-24.435324: 1539.1461643642, 1547.084312149 , 1555.5915062238, 1562.2896341533, 1537.9147575177, 1545.9148371473, 1554.3086912996, 1561.6893523285, 1538.3105025453, 1546.4983816165, 1554.5951303163, 1561.8060386879
08-15-24.436324: 1539.145972197 , 1547.0829492615, 1555.5958382116, 1562.2886403231, 1537.9161042998, 1545.9152267702, 1554.3082974343, 1561.7145537558, 1538.3097328293, 1546.5020772779, 1554.595522405 , 1561.810205549 
08-15-24.437324: 1539.1440448758, 1547.0835336277, 1555.597806955 , 1562.289832143 , 1537.9143719171, 1545.9173649483, 1554.3092811372, 1561.6798270874, 1538.3091550724, 1546.5012993425, 1554.5943422956, 1561.8131832776
08-15-24.438324: 1539.1440448758, 1547.0829492615, 1555.5956419149, 1562.3158468806, 1537.9182204076, 1545.9173649483, 1554.3088872716, 1561.7066167604, 1538.3083853577, 1546.50013149  , 1554.5941462515, 1561.8080231818
08-15-24.439324: 1539.1423097256, 1547.0848965162, 1555.5956419149, 1562.2995628191, 1537.9149493776, 1545.9165876011, 1554.3094771094, 1561.7089966868, 1538.3091550724, 1546.4991595489, 1554.5947363058, 1561.8098078727
08-15-24.440324: 1539.1428881086, 1547.0835336277, 1555.5952473971, 1562.3162448146, 1537.91629616  , 1545.9154206315, 1554.3108527589, 1561.7183244387, 1538.3089631141, 1546.5024671969, 1554.5933601538, 1561.8100076808
08-15-24.441324: 1539.1440448758, 1547.0835336277, 1555.5954436937, 1562.3001587371, 1537.9155268384, 1545.9177545725, 1554.3108527589, 1561.6768518068, 1538.3097328293, 1546.5011053343, 1554.5965064715, 1561.8117923762
