08-13-17.882671: 1539.013959026 , 1546.9552177732, 1555.4546886387, 1562.2288750206, 1538.0306138536, 1546.0048718703, 1554.4170060617, 1561.759207647 , 1538.3305304867, 1546.5382759119, 1554.6234496203, 1561.8147739907
08-13-17.883671: 1539.0143432945, 1546.9571647064, 1555.4550830852, 1562.2294689438, 1538.0308076237, 1546.0050676548, 1554.4170060617, 1561.7619853853, 1538.3299527141, 1546.5363300329, 1554.6262020333, 1561.8183453474
08-13-17.884671: 1539.0143432945, 1546.9559961652, 1555.4537034854, 1562.230264724 , 1538.0306138536, 1546.0023437831, 1554.4148443071, 1561.7471017114, 1538.3299527141, 1546.5394438221, 1554.6248258256, 1561.8183453474
08-13-17.885671: 1539.012416303 , 1546.9542433568, 1555.4570514723, 1562.2183494562, 1538.0302300762, 1546.0050676548, 1554.4183819015, 1561.7474993557, 1538.3311082597, 1546.5373039229, 1554.6250218774, 1561.8159650877
08-13-17.886671: 1539.013959026 , 1546.9556060175, 1555.4537034854, 1562.2286751054, 1538.0315770605, 1546.0040944351, 1554.4150403059, 1561.7641676238, 1538.3305304867, 1546.5376919575, 1554.6248258256, 1561.8203318125
08-13-17.887671: 1539.0104893162, 1546.9571647064, 1555.4521295517, 1562.2231163179, 1538.0304219649, 1546.0039005516, 1554.4162201431, 1561.7582144915, 1538.3305304867, 1546.5388598668, 1554.6246278518, 1561.8175519267
08-13-17.888671: 1539.0128024544, 1546.9554118953, 1555.4537034854, 1562.221130769 , 1538.0309995125, 1546.0046779866, 1554.4166140631, 1561.7643654804, 1538.3299527141, 1546.5367199692, 1554.6260059812, 1561.8185451576
08-13-17.889671: 1539.0137650082, 1546.9569705838, 1555.4558700546, 1562.2364194318, 1538.0302300762, 1546.0046779866, 1554.4195617437, 1561.7478950605, 1538.3305304867, 1546.537887877 , 1554.6242357484, 1561.8133850264
08-13-17.890671: 1539.0149215813, 1546.9552177732, 1555.4550830852, 1562.2121948908, 1538.0294587595, 1546.0052615386, 1554.4162201431, 1561.7738917528, 1538.3291829787, 1546.5359400969, 1554.6258080071, 1561.8217207891
08-13-17.891671: 1539.0135728741, 1546.9536590882, 1555.4535072245, 1562.246547341 , 1538.0323464982, 1546.004484103 , 1554.4172039826, 1561.759207647 , 1538.3305304867, 1546.5361360159, 1554.6250218774, 1561.8203318125
08-13-17.892671: 1539.012416303 , 1546.9542433568, 1555.4562625776, 1562.2066342797, 1538.0300363063, 1546.0042883186, 1554.4179899022, 1561.7580166365, 1538.3299527141, 1546.5363300329, 1554.6265960597, 1561.818743028 
08-13-17.893671: 1539.0135728741, 1546.9558020429, 1555.4556737932, 1562.2324482714, 1538.0315770605, 1546.0033170007, 1554.4183819015, 1561.7637719108, 1538.3286052071, 1546.5388598668, 1554.6269881643, 1561.8223163427
08-13-17.894671: 1539.01338074  , 1546.9556060175, 1555.4546886387, 1562.2251018719, 1538.0311914014, 1546.0052615386, 1554.4170060617, 1561.7744872699, 1538.3291829787, 1546.5361360159, 1554.6238417232, 1561.8201320018
08-13-17.895671: 1539.0118380181, 1546.9538551131, 1555.4554756077, 1562.248135055 , 1538.0294587595, 1546.004484103 , 1554.4168100623, 1561.7633742582, 1538.3305304867, 1546.5369139863, 1554.6252179292, 1561.8193385793
